ti;t;Vi;V
0.0123;-0.0277;0.00E+00;0.00E+00
0.0124;-0.0276;0.00E+00;0.00E+00
0.0125;-0.0275;-4.00E-02;-1.09E-02
0.0126;-0.0274;0.00E+00;0.00E+00
0.0127;-0.0273;-4.00E-02;-1.09E-02
0.0128;-0.0272;-4.00E-02;-1.09E-02
0.0129;-0.0271;0.00E+00;0.00E+00
0.013;-0.027;0.00E+00;0.00E+00
0.0131;-0.0269;0.00E+00;0.00E+00
0.0132;-0.0268;0.00E+00;0.00E+00
0.0133;-0.0267;-4.00E-02;-1.09E-02
0.0134;-0.0266;-4.00E-02;-1.09E-02
0.0135;-0.0265;-4.00E-02;-1.09E-02
0.0136;-0.0264;-4.00E-02;-1.09E-02
0.0137;-0.0263;0.00E+00;0.00E+00
0.0138;-0.0262;-4.00E-02;-1.09E-02
0.0139;-0.0261;0.00E+00;0.00E+00
0.014;-0.026;-4.00E-02;-1.09E-02
0.0141;-0.0259;-4.00E-02;-1.09E-02
0.0142;-0.0258;0.00E+00;0.00E+00
0.0143;-0.0257;0.00E+00;0.00E+00
0.0144;-0.0256;0.00E+00;0.00E+00
0.0145;-0.0255;-4.00E-02;-1.09E-02
0.0146;-0.0254;-4.00E-02;-1.09E-02
0.0147;-0.0253;0.00E+00;0.00E+00
0.0148;-0.0252;0.00E+00;0.00E+00
0.0149;-0.0251;-4.00E-02;-1.09E-02
0.015;-0.025;0.00E+00;0.00E+00
0.0151;-0.0249;0.00E+00;0.00E+00
0.0152;-0.0248;-4.00E-02;-1.09E-02
0.0153;-0.0247;0.00E+00;0.00E+00
0.0154;-0.0246;0.00E+00;0.00E+00
0.0155;-0.0245;0.00E+00;0.00E+00
0.0156;-0.0244;0.00E+00;0.00E+00
0.0157;-0.0243;0.00E+00;0.00E+00
0.0158;-0.0242;0.00E+00;0.00E+00
0.0159;-0.0241;-4.00E-02;-1.09E-02
0.016;-0.024;-4.00E-02;-1.09E-02
0.0161;-0.0239;0.00E+00;0.00E+00
0.0162;-0.0238;-4.00E-02;-1.09E-02
0.0163;-0.0237;-4.00E-02;-1.09E-02
0.0164;-0.0236;0.00E+00;0.00E+00
0.0165;-0.0235;-4.00E-02;-1.09E-02
0.0166;-0.0234;-4.00E-02;-1.09E-02
0.0167;-0.0233;0.00E+00;0.00E+00
0.0168;-0.0232;0.00E+00;0.00E+00
0.0169;-0.0231;0.00E+00;0.00E+00
0.017;-0.023;-4.00E-02;-1.09E-02
0.0171;-0.0229;0.00E+00;0.00E+00
0.0172;-0.0228;-4.00E-02;-1.09E-02
0.0173;-0.0227;0.00E+00;0.00E+00
0.0174;-0.0226;-4.00E-02;-1.09E-02
0.0175;-0.0225;0.00E+00;0.00E+00
0.0176;-0.0224;-4.00E-02;-1.09E-02
0.0177;-0.0223;-4.00E-02;-1.09E-02
0.0178;-0.0222;0.00E+00;0.00E+00
0.0179;-0.0221;0.00E+00;0.00E+00
0.018;-0.022;-4.00E-02;-1.09E-02
0.0181;-0.0219;0.00E+00;0.00E+00
0.0182;-0.0218;-4.00E-02;-1.09E-02
0.0183;-0.0217;0.00E+00;0.00E+00
0.0184;-0.0216;0.00E+00;0.00E+00
0.0185;-0.0215;-4.00E-02;-1.09E-02
0.0186;-0.0214;0.00E+00;0.00E+00
0.0187;-0.0213;0.00E+00;0.00E+00
0.0188;-0.0212;-4.00E-02;-1.09E-02
0.0189;-0.0211;-4.00E-02;-1.09E-02
0.019;-0.021;0.00E+00;0.00E+00
0.0191;-0.0209;0.00E+00;0.00E+00
0.0192;-0.0208;0.00E+00;0.00E+00
0.0193;-0.0207;0.00E+00;0.00E+00
0.0194;-0.0206;0.00E+00;0.00E+00
