t	V
0.000000000000000e+000	0.000000e+000
1.000000000000000e-012	-1.801840e-017
3.005839947428012e-010	-1.579767e-009
6.001679894856025e-010	-5.752396e-009
8.997519842284037e-010	-1.251789e-008
1.199335978971205e-009	-2.187624e-008
1.498919973714006e-009	-3.382745e-008
1.798503968456808e-009	-4.837153e-008
2.098087963199608e-009	-6.550847e-008
4.195239926398093e-009	-2.458975e-007
8.389543852795062e-009	-8.374246e-007
1.425479691109989e-008	-2.005220e-006
2.049996272142866e-008	-3.530608e-006
2.720968859207672e-008	-5.268000e-006
3.496290441404577e-008	-7.077575e-006
4.669914878544866e-008	-9.016352e-006
6.337757219357778e-008	-1.009452e-005
9.038677896251018e-008	-9.679029e-006
2.265272743910765e-007	-8.374318e-006
4.080479349624983e-007	-8.127288e-006
6.751170639014394e-007	-6.239662e-006
9.934214906772375e-007	-3.594582e-006
1.303635239756295e-006	-1.775428e-006
1.583236399204477e-006	-9.428115e-007
1.916831484750112e-006	-4.264069e-007
2.318667394120667e-006	-1.497095e-007
3.487720633532169e-006	3.404720e-008
1.822119965538299e-004	1.817516e-004
3.609362724741276e-004	6.517171e-004
5.396605483944253e-004	1.409930e-003
7.183848243147231e-004	2.456392e-003
8.971091002350209e-004	3.791101e-003
1.075833376155319e-003	5.414058e-003
1.254557652075616e-003	7.325263e-003
1.342448277075616e-003	8.358805e-003
1.518229527075616e-003	1.061921e-002
1.694010777075616e-003	1.313305e-002
1.869792027075616e-003	1.589517e-002
2.045573277075616e-003	1.890050e-002
2.309245152075616e-003	2.385356e-002
2.572917027075615e-003	2.932589e-002
2.836588902075615e-003	3.530112e-002
3.213263009218472e-003	4.478701e-002
3.589937116361328e-003	5.511036e-002
3.966611223504185e-003	6.627117e-002
4.343285330647042e-003	7.826943e-002
4.719959437789898e-003	9.110516e-002
5.096633544932755e-003	1.047783e-001
5.473307652075611e-003	1.192890e-001
6.050874616361324e-003	1.430521e-001
6.628441580647038e-003	1.679317e-001
7.206008544932752e-003	1.939276e-001
7.783575509218465e-003	2.210400e-001
8.361142473504179e-003	2.492687e-001
8.938709437789891e-003	2.786138e-001
9.516276402075604e-003	3.090754e-001
9.905506312789889e-003	3.298295e-001
1.029473622350417e-002	3.507365e-001
1.068396613421846e-002	3.717964e-001
1.107319604493275e-002	3.930090e-001
1.146242595564703e-002	4.143745e-001
1.185165586636132e-002	4.358927e-001
1.224088577707560e-002	4.575638e-001
1.241666702707560e-002	4.673195e-001
1.250455765207560e-002	4.721983e-001
1.259244827707560e-002	4.770773e-001
1.276822952707560e-002	4.868342e-001
1.303190140207560e-002	5.014614e-001
1.338346390207560e-002	5.209857e-001
1.373502640207560e-002	5.404008e-001
1.408658890207560e-002	5.597065e-001
1.443815140207560e-002	5.789030e-001
1.478971390207560e-002	5.979902e-001
1.514127640207560e-002	6.169681e-001
1.549283890207560e-002	6.358367e-001
1.558072952707560e-002	6.405144e-001
1.566862015207560e-002	6.451808e-001
1.583184559850417e-002	6.538218e-001
1.599507104493274e-002	6.624134e-001
1.615829649136131e-002	6.709557e-001
1.632152193778988e-002	6.794487e-001
1.648474738421845e-002	6.878923e-001
1.664797283064702e-002	6.962866e-001
1.681119827707560e-002	7.046314e-001
1.689908890207559e-002	7.090977e-001
1.698697952707559e-002	7.135469e-001
1.716276077707559e-002	7.223924e-001
1.742643265207559e-002	7.355239e-001
1.794122059850416e-002	7.607723e-001
1.845600854493273e-002	7.851842e-001
1.897079649136131e-002	8.087599e-001
1.948558443778988e-002	8.314992e-001
2.000037238421845e-002	8.534021e-001
2.051516033064702e-002	8.744687e-001
2.102994827707559e-002	8.946990e-001
2.120572952707559e-002	9.013538e-001
2.138151077707559e-002	9.078959e-001
2.146940140207559e-002	9.111243e-001
2.164518265207559e-002	9.174957e-001
