t	V
1.781450081736133e-001	4.886036e-001
1.825897626378990e-001	4.897036e-001
1.870345171021847e-001	4.907110e-001
1.914792715664705e-001	4.916258e-001
1.959240260307562e-001	4.924479e-001
2.003687804950420e-001	4.931774e-001
2.048135349593277e-001	4.938143e-001
2.097521510307563e-001	4.944562e-001
2.146907671021849e-001	4.950441e-001
2.196293831736135e-001	4.955781e-001
2.245679992450421e-001	4.960583e-001
2.295066153164707e-001	4.964845e-001
2.344452313878993e-001	4.968568e-001
2.393838474593279e-001	4.971752e-001
2.453101867450420e-001	4.975162e-001
2.512365260307561e-001	4.978245e-001
2.571628653164702e-001	4.981003e-001
2.630892046021843e-001	4.983434e-001
2.690155438878985e-001	4.985539e-001
2.749418831736126e-001	4.987319e-001
2.808682224593266e-001	4.988772e-001
2.889346287093263e-001	4.990479e-001
2.970010349593260e-001	4.991986e-001
3.050674412093256e-001	4.993294e-001
3.131338474593253e-001	4.994402e-001
3.212002537093249e-001	4.995310e-001
3.292666599593246e-001	4.996019e-001
3.373330662093242e-001	4.996529e-001
3.505027090664665e-001	4.997204e-001
3.636723519236089e-001	4.997776e-001
3.768419947807511e-001	4.998245e-001
3.900116376378935e-001	4.998611e-001
4.031812804950358e-001	4.998874e-001
4.163509233521781e-001	4.999035e-001
4.295205662093203e-001	4.999093e-001
4.482873072807490e-001	4.999193e-001
4.670540483521776e-001	4.999277e-001
4.858207894236062e-001	4.999342e-001
5.045875304950348e-001	4.999389e-001
5.233542715664634e-001	4.999419e-001
5.421210126378920e-001	4.999431e-001
5.608877537093207e-001	4.999425e-001
5.614639255843207e-001	4.999426e-001
5.896963474593222e-001	4.999434e-001
5.900000000000000e-001	4.999434e-001
