t	V
6.717207614148807e-002	8.616568e-001
6.810957614148810e-002	8.605734e-001
6.904707614148814e-002	8.594714e-001
6.998457614148818e-002	8.583507e-001
7.092207614148821e-002	8.572113e-001
7.185957614148825e-002	8.560533e-001
7.279707614148828e-002	8.548766e-001
7.385176364148832e-002	8.535676e-001
7.490645114148836e-002	8.522867e-001
7.596113864148840e-002	8.510339e-001
7.701582614148844e-002	8.498092e-001
7.807051364148848e-002	8.486127e-001
7.912520114148852e-002	8.474442e-001
8.017988864148856e-002	8.463039e-001
8.145221007006004e-002	8.449944e-001
8.272453149863152e-002	8.437539e-001
8.399685292720299e-002	8.425823e-001
8.526917435577447e-002	8.414797e-001
8.654149578434595e-002	8.404460e-001
8.781381721291742e-002	8.394813e-001
8.908613864148890e-002	8.385856e-001
9.014082614148894e-002	8.379000e-001
9.119551364148898e-002	8.372578e-001
9.225020114148902e-002	8.366590e-001
9.330488864148906e-002	8.361037e-001
9.435957614148910e-002	8.355918e-001
9.541426364148914e-002	8.351234e-001
9.646895114148918e-002	8.346984e-001
9.767430828434637e-002	8.342619e-001
9.887966542720356e-002	8.338660e-001
1.000850225700607e-001	8.335108e-001
1.012903797129179e-001	8.331961e-001
1.024957368557751e-001	8.329220e-001
1.037010939986323e-001	8.326885e-001
1.049064511414895e-001	8.324956e-001
1.062457368557753e-001	8.323183e-001
1.075850225700610e-001	8.321683e-001
1.089243082843468e-001	8.320457e-001
1.102635939986326e-001	8.319505e-001
1.116028797129183e-001	8.318827e-001
1.129421654272041e-001	8.318422e-001
1.142814511414899e-001	8.318291e-001
1.143986386414899e-001	8.318281e-001
1.151687279272042e-001	8.318263e-001
1.159388172129185e-001	8.318287e-001
1.167089064986328e-001	8.318353e-001
1.174789957843471e-001	8.318461e-001
1.182490850700614e-001	8.318612e-001
1.190191743557758e-001	8.318805e-001
1.197892636414901e-001	8.319040e-001
1.199064511414901e-001	8.319077e-001
1.200000000000000e-001	8.319104e-001
