time	Vo
8.672271603616619e-002	1.016976e+000
8.791551737545189e-002	1.015550e+000
8.910831871473758e-002	1.014168e+000
9.059269371473756e-002	1.012546e+000
9.207706871473755e-002	1.011021e+000
9.356144371473753e-002	1.009594e+000
9.504581871473751e-002	1.008264e+000
9.653019371473749e-002	1.007032e+000
9.801456871473747e-002	1.005898e+000
9.949894371473746e-002	1.004861e+000
1.012483856790232e-001	1.003776e+000
1.029978276433088e-001	1.002797e+000
1.047472696075945e-001	1.001926e+000
1.064967115718802e-001	1.001161e+000
1.082461535361659e-001	1.000504e+000
1.099955955004516e-001	9.999533e-001
1.117450374647373e-001	9.995100e-001
1.136005062147373e-001	9.991291e-001
1.154559749647373e-001	9.988090e-001
1.173114437147372e-001	9.985497e-001
1.191669124647372e-001	9.983514e-001
1.210223812147372e-001	9.982138e-001
1.228778499647372e-001	9.981371e-001
1.247333187147372e-001	9.981213e-001
1.267743343397371e-001	9.981377e-001
1.288153499647371e-001	9.981734e-001
1.308563655897371e-001	9.982284e-001
1.328973812147371e-001	9.983027e-001
1.349383968397371e-001	9.983963e-001
1.369794124647370e-001	9.985092e-001
1.390204280897370e-001	9.986414e-001
1.417241111254513e-001	9.988116e-001
1.444277941611655e-001	9.989723e-001
1.471314771968798e-001	9.991235e-001
1.498351602325940e-001	9.992652e-001
1.525388432683083e-001	9.993975e-001
1.552425263040225e-001	9.995202e-001
1.579462093397368e-001	9.996334e-001
1.611270129111653e-001	9.997378e-001
1.643078164825939e-001	9.998274e-001
1.674886200540224e-001	9.999022e-001
1.706694236254509e-001	9.999622e-001
1.738502271968795e-001	1.000007e+000
1.770310307683080e-001	1.000038e+000
1.802118343397365e-001	1.000053e+000
1.803973812147365e-001	1.000054e+000
1.898602718397364e-001	1.000072e+000
1.900000000000000e-001	1.000072e+000
