time	Vo
5.020883971193265e-001	1.102729e+000
5.044600489050408e-001	1.089910e+000
5.068317006907551e-001	1.077101e+000
5.092033524764694e-001	1.064303e+000
5.115750042621836e-001	1.051516e+000
5.139466560478979e-001	1.038740e+000
5.163183078336122e-001	1.025974e+000
5.186899596193265e-001	1.013220e+000
5.212011203336122e-001	9.998583e-001
5.237122810478979e-001	9.867668e-001
5.262234417621836e-001	9.739452e-001
5.287346024764694e-001	9.613933e-001
5.312457631907551e-001	9.491113e-001
5.337569239050408e-001	9.370990e-001
5.362680846193265e-001	9.253566e-001
5.390582631907551e-001	9.127722e-001
5.418484417621836e-001	9.007830e-001
5.446386203336122e-001	8.893891e-001
5.474287989050408e-001	8.785904e-001
5.502189774764694e-001	8.683869e-001
5.530091560478979e-001	8.587787e-001
5.557993346193265e-001	8.497657e-001
5.578919685478979e-001	8.434988e-001
5.599846024764694e-001	8.376454e-001
5.620772364050408e-001	8.322055e-001
5.641698703336122e-001	8.271792e-001
5.662625042621836e-001	8.225664e-001
5.683551381907551e-001	8.183672e-001
5.704477721193265e-001	8.145815e-001
5.728194239050408e-001	8.108274e-001
5.751910756907551e-001	8.076265e-001
5.775627274764694e-001	8.049788e-001
5.799343792621836e-001	8.028842e-001
5.823060310478979e-001	8.013428e-001
5.846776828336122e-001	8.003546e-001
5.870493346193265e-001	7.999195e-001
5.894209864050408e-001	8.000456e-001
5.917926381907551e-001	8.006797e-001
5.941642899764694e-001	8.018218e-001
5.965359417621836e-001	8.034719e-001
5.989075935478979e-001	8.056299e-001
6.012792453336122e-001	8.082960e-001
6.036508971193265e-001	8.114700e-001
6.079756739050408e-001	8.186879e-001
6.123004506907551e-001	8.270542e-001
6.166252274764694e-001	8.365689e-001
6.209500042621836e-001	8.472322e-001
6.252747810478979e-001	8.590439e-001
6.295995578336122e-001	8.720040e-001
6.339243346193265e-001	8.861126e-001
6.369935310478979e-001	8.964520e-001
6.400627274764694e-001	9.069544e-001
6.431319239050408e-001	9.176201e-001
6.462011203336122e-001	9.284488e-001
6.492703167621836e-001	9.394407e-001
6.523395131907551e-001	9.505958e-001
6.554087096193265e-001	9.619139e-001
6.580593792621836e-001	9.716411e-001
6.607100489050408e-001	9.812476e-001
6.633607185478979e-001	9.907335e-001
6.660113881907551e-001	1.000099e+000
6.686620578336122e-001	1.009344e+000
6.713127274764694e-001	1.018468e+000
6.739633971193265e-001	1.027471e+000
6.771721024764694e-001	1.038080e+000
6.803808078336122e-001	1.048222e+000
6.835895131907551e-001	1.057895e+000
6.867982185478979e-001	1.067101e+000
6.900069239050408e-001	1.075839e+000
